image_name,collection,words,tier,newspaper_note
mss3413201856-23.jpg,nawsa,8966,broadsheet,"Boston-area broadsheet (1881), news+ads"
mss3413201776-3.jpg,nawsa,5698,broadsheet,"Anti-slavery/Quaker paper (1852), full inner page"
mss3413201417-17.jpg,nawsa,5464,broadsheet,"The Liberator (1864), inner page"
mss3413200223-28.jpg,nawsa,5272,broadsheet,"The Liberator, single-page spread"
mss3413201856-40.jpg,nawsa,5253,broadsheet,"Boston Daily Advertiser, full page"
mss3413201417-25.jpg,nawsa,5201,broadsheet,"The Liberator, six columns + ads"
mss3413201417-29.jpg,nawsa,4985,broadsheet,"The Liberator, poetry/news/ads"
mss3413201628-41.jpg,nawsa,4724,broadsheet,"The Liberator, p.204"
mss3413201417-20.jpg,nawsa,4203,broadsheet,"The Liberator (Oct 14), p.168"
mss3413201573-36.jpg,nawsa,3296,page,"Hartford Daily Courant, p.11"
mss3413201323-27.jpg,nawsa,3276,page,"Des Moines Register & Leader (1916), p.6"
mss3413201309-4.jpg,nawsa,3010,page,"Maine Anti-Suffragist, full-width banner"
mss3413201322-4.jpg,nawsa,2774,page,"Anti-Suffrage Notes, front page"
mss3413201315-4.jpg,nawsa,2631,page,"Anti-Suffrage Notes, interior page"
mss83434402-9.jpg,gladstone,2629,page,"British paper, casualty lists + classifieds"
mss3413201879-7.jpg,nawsa,2584,page,"Industrial Equality, front page"
mss3413201819-6.jpg,nawsa,2537,page,"Oberlin college newspaper, full page"
mss3413201283-24.jpg,nawsa,2199,page,"Providence Sunday Journal (1919), 5th section front"
mss425490669-55.jpg,mary-church-terrell,1892,page,"Indianapolis paper (1898), full front page"
