model,harness,region,overall,cased,broadsheet,page,chrF,bowF1,gap,cost,cost_per_100,tok_out,n
glm-ocr-doclayout,newspaper-ocr,DocLayout,0.9704486765334728,0.95505159645769,0.9755242722738466,0.9670649460398902,0.9860444110969656,0.9858511465081004,0.015402469974627575,0.0,0.0,,15
ll-doclayout-pvl,newspaper-ocr,DocLayout,0.9698491900830744,0.9526336470988499,0.9723664884661654,0.9681709911610138,0.9864265079797021,0.9847804934621528,0.014931303379078442,0.0,0.0,,15
ll-doclayout-glm,newspaper-ocr,DocLayout,0.9588530203284081,0.9434688255658038,0.9737595851804841,0.948915310427024,0.987013455700729,0.9854590117203318,0.026605991391923656,0.0,0.0,,15
glm-ocr-residual,newspaper-ocr,PaddleX,0.937044937304478,0.9218719919341639,0.9639154550597255,0.9191312588009798,0.9787047638172203,0.9799759483353704,0.04293101103089236,0.0,0.0,,15
gemini-3.5-flash-lite-residual,newspaper-ocr,PaddleX,0.9360338202784526,0.9145204267783341,0.9668557312465714,0.91548587963304,0.971993671267911,0.9442571026333914,0.008223282354938743,0.8577454049999989,4.514449499999993,197117,15
progmag-ppdoc-glm-repair,progmag-ocr,PaddleX,0.9242292978367326,0.909798086945478,0.9733353467153913,0.8914919319176268,0.9556128039402132,0.965364297402506,0.04113499956577338,0.0,0.0,,15
gpt-5.6-luna,newspaper-ocr,PaddleX,0.920849480068085,0.8982775023250356,0.9743284099086916,0.8851968601743472,0.9407505486080221,0.9280987413590331,0.007249261290948161,0.000241164,0.0012692842105263159,723904,15
deepseek-v4.1-flash,newspaper-ocr,PaddleX,0.9201834488151488,0.8990192799346999,0.9721697995653469,0.8855258816483501,0.9401462228762866,0.9296084956164893,0.009425046801340486,0.5180521202999995,2.7265901068421026,565761,15
gemini-3.5-flash-lite,newspaper-ocr,PaddleX,0.9199564499191298,0.8993254315452985,0.9728935651395874,0.8846650397721582,0.941095887752707,0.9288686480183589,0.008912198099229052,0.6470927100000002,3.405751105263159,124801,15
ll-doclayout-tess,newspaper-ocr,DocLayout,0.9191677852037826,0.8885637046967527,0.9335032185870372,0.9096108296149462,0.9575839246468367,0.9101873664254014,-0.008980418778381183,0.0,0.0,,15
